"Datum","Uhrzeit","Zeitzone","Beschreibung","Währung","Brutto","Entgelt","Netto","Guthaben","Transaktionscode","Absender E-Mail-Adresse","Name","Name der Bank","Bankkonto","Versand- und Bearbeitungsgebühr","Umsatzsteuer","Rechnungsnummer","Zugehöriger Transaktionscode"
"01.01.2023","09:04:06","America/Los_Angeles","PayPal Express-Zahlung","EUR","-72,12","0,00","-72,12","-72,12","6A016824LF3181359","paypal@takeaway.com","Takeaway.com Payments B.V.","","","0,00","0,00","PIEDCC76B76E",""
"01.01.2023","09:04:06","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","72,12","0,00","72,12","0,00","3H698177L0134112D","","","Commerzbank AG","4000","0,00","0,00","PIEDCC76B76E","6A016824LF3181359"
"02.01.2023","21:29:59","America/Los_Angeles","PayPal Express-Zahlung","EUR","-66,40","0,00","-66,40","-66,40","1NG200486V367683D","paypal@deutschebahn.com","DB Vertrieb GmbH","","","0,00","0,00","SMSY1W-01",""
"02.01.2023","21:29:59","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","66,40","0,00","66,40","0,00","3UP46554E8560482X","","","Commerzbank AG","4000","0,00","0,00","SMSY1W-01","1NG200486V367683D"
"03.01.2023","01:39:04","America/Los_Angeles","Zahlung im Einzugsverfahren mit Zahlungsrechnung","EUR","-9,99","0,00","-9,99","-9,99","4GJ23001N8106750B","paypal-se@spotify.com","Spotify AB","","","0,00","0,00","P1FF7393AB","B-19128169KJ870230K"
"03.01.2023","01:39:04","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","9,99","0,00","9,99","0,00","8K960464DA314790P","","","Commerzbank AG","4000","0,00","0,00","P1FF7393AB","4GJ23001N8106750B"
"04.01.2023","02:15:38","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","12,82","0,00","12,82","12,82","2DD36206LD233614V","","","Commerzbank AG","4000","0,00","0,00","BT-cc1f5941-6370-4552-b201-fc9a4f734e91","0RH26412UL885292C"
"04.01.2023","02:15:38","America/Los_Angeles","Allgemeine Währungsumrechnung","EUR","-12,82","0,00","-12,82","0,00","67281714ER333113E","","","","","0,00","0,00","BT-cc1f5941-6370-4552-b201-fc9a4f734e91","0RH26412UL885292C"
"08.01.2023","22:45:17","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","9,65","0,00","9,65","9,65","9X77270927167711E","","","Commerzbank AG","4000","0,00","0,00","F4PC8Z2BS6WZ8C32","1AT01700F08556312"
"08.01.2023","22:45:17","America/Los_Angeles","Allgemeine Währungsumrechnung","EUR","-9,65","0,00","-9,65","0,00","7Y886118062281904","","","","","0,00","0,00","F4PC8Z2BS6WZ8C32","1AT01700F08556312"
"14.01.2023","10:31:54","America/Los_Angeles","PayPal Express-Zahlung","EUR","-38,30","0,00","-38,30","-38,30","8LX78477E8816371N","paypal@takeaway.com","Takeaway.com Payments B.V.","","","0,00","0,00","PIE4E474807E",""
"14.01.2023","10:31:54","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","38,30","0,00","38,30","0,00","4AG72788FC393714A","","","Commerzbank AG","4000","0,00","0,00","PIE4E474807E","8LX78477E8816371N"
"25.01.2023","11:33:56","America/Los_Angeles","PayPal Express-Zahlung","EUR","-37,50","0,00","-37,50","-37,50","8U472374CG820383P","paypal@takeaway.com","Takeaway.com Payments B.V.","","","0,00","0,00","PIE8EDB0047E",""
"25.01.2023","11:33:56","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","37,50","0,00","37,50","0,00","4UT45484S17402828","","","Commerzbank AG","4000","0,00","0,00","PIE8EDB0047E","8U472374CG820383P"
"25.01.2023","13:37:17","America/Los_Angeles","Handyzahlung","EUR","13,00","0,00","13,00","13,00","6NJ656893G9927148","luis.gutierrez2395@gmail.com","Luis Enrique Gutierrez Mejia","","","0,00","0,00","",""
"30.01.2023","04:26:17","America/Los_Angeles","PayPal Express-Zahlung","EUR","-10,99","0,00","-10,99","2,01","4AU78903NL625554P","payments-eur@udemy.com","Udemy Ireland, Ltd","","","0,00","0,00","",""
"30.01.2023","04:26:17","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","10,99","0,00","10,99","13,00","7G073149U0110012P","","","Commerzbank AG","4000","0,00","0,00","","4AU78903NL625554P"
"04.01.2023","02:15:38","America/Los_Angeles","Zahlung im Einzugsverfahren mit Zahlungsrechnung","USD","-12,95","0,00","-12,95","-12,95","0RH26412UL885292C","billing@expressvpn.com","ExpressVPN","","","0,00","0,00","BT-cc1f5941-6370-4552-b201-fc9a4f734e91","B-34664824RM842124W"
"04.01.2023","02:15:38","America/Los_Angeles","Allgemeine Währungsumrechnung","USD","12,95","0,00","12,95","0,00","32Y690242D7060504","","","","","0,00","0,00","BT-cc1f5941-6370-4552-b201-fc9a4f734e91","0RH26412UL885292C"
"08.01.2023","22:45:17","America/Los_Angeles","Zahlung im Einzugsverfahren mit Zahlungsrechnung","USD","-9,71","0,00","-9,71","-9,71","1AT01700F08556312","paypal@scribd.com","Scribd","","","0,00","0,00","F4PC8Z2BS6WZ8C32","B-0DC64338TG330694Y"
"08.01.2023","22:45:17","America/Los_Angeles","Allgemeine Währungsumrechnung","USD","9,71","0,00","9,71","0,00","10A68734JS799544S","","","","","0,00","0,00","F4PC8Z2BS6WZ8C32","1AT01700F08556312"
