"Datum","Uhrzeit","Zeitzone","Beschreibung","Währung","Brutto","Entgelt","Netto","Guthaben","Transaktionscode","Absender E-Mail-Adresse","Name","Name der Bank","Bankkonto","Versand- und Bearbeitungsgebühr","Umsatzsteuer","Rechnungsnummer","Zugehöriger Transaktionscode"
"03.11.2022","02:39:07","America/Los_Angeles","Zahlung im Einzugsverfahren mit Zahlungsrechnung","EUR","-9,99","0,00","-9,99","-9,99","39A60495B56502345","paypal-se@spotify.com","Spotify AB","","","0,00","0,00","P1EB5A2346","B-19128169KJ870230K"
"03.11.2022","02:39:07","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","9,99","0,00","9,99","0,00","9V261202LU798761A","","","Commerzbank AG","4000","0,00","0,00","P1EB5A2346","39A60495B56502345"
"08.11.2022","22:45:19","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","10,05","0,00","10,05","10,05","7YY062370C8212030","","","Commerzbank AG","4000","0,00","0,00","KZCNSLQMNXMBFF32","5WU97899HS5550304"
"08.11.2022","22:45:19","America/Los_Angeles","Allgemeine Währungsumrechnung","EUR","-10,05","0,00","-10,05","0,00","19N02441PE052511F","","","","","0,00","0,00","KZCNSLQMNXMBFF32","5WU97899HS5550304"
"11.11.2022","10:40:37","America/Los_Angeles","PayPal Express-Zahlung","EUR","-30,47","0,00","-30,47","-30,47","7BP56818FV9724338","paypal@takeaway.com","Takeaway.com Payments B.V.","","","0,00","0,00","PIE87D248BDE",""
"11.11.2022","10:40:37","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","30,47","0,00","30,47","0,00","0JE70344J72654326","","","Commerzbank AG","4000","0,00","0,00","PIE87D248BDE","7BP56818FV9724338"
"19.11.2022","01:13:00","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","65,61","0,00","65,61","65,61","8HR51155F0888005C","","","Commerzbank AG","4000","5,95","0,00","rScWGPfgjrLE0wYkYoY5IpXsB","7SF41704L4721261C"
"19.11.2022","01:13:00","America/Los_Angeles","Allgemeine Währungsumrechnung","EUR","-65,61","0,00","-65,61","0,00","7P089470B1415824E","","","","","5,95","0,00","rScWGPfgjrLE0wYkYoY5IpXsB","7SF41704L4721261C"
"23.11.2022","02:21:53","America/Los_Angeles","Zahlung im Einzugsverfahren mit Zahlungsrechnung","EUR","-19,99","0,00","-19,99","-19,99","3MS698526B081094X","Paypal-itunes-EUR@group.apple.com","Apple Services","","","0,00","0,00","MX5SQ75B3Ka0","B-4CD87863NK342052W"
"23.11.2022","02:21:53","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","19,99","0,00","19,99","0,00","36P04617JY881224X","","","Commerzbank AG","4000","0,00","0,00","MX5SQ75B3Ka0","3MS698526B081094X"
"26.11.2022","02:17:33","America/Los_Angeles","PayPal Express-Zahlung","EUR","-2,49","0,00","-2,49","-2,49","56F05686VV0864303","josepsotomusic@gmail.com","Josep Soto Music","","","0,00","0,00","",""
"26.11.2022","02:17:33","America/Los_Angeles","Zahlung per PayPal-Käuferkredit","EUR","2,49","0,00","2,49","0,00","5XH31727ST508992K","","","","","0,00","0,00","","56F05686VV0864303"
"28.11.2022","06:45:21","America/Los_Angeles","Rückzahlung","EUR","19,99","0,00","19,99","19,99","5FW3031545546803H","Paypal-itunes-EUR@group.apple.com","Apple Services","","","0,00","0,00","MX5SQ75B3Kr1","3MS698526B081094X"
"28.11.2022","06:45:21","America/Los_Angeles","Allgemeine Abbuchung – Bankkonto","EUR","-19,99","0,00","-19,99","0,00","6DV687488V989531K","","","Commerzbank AG","4000","0,00","0,00","MX5SQ75B3Kr1","3MS698526B081094X"
"29.11.2022","21:39:11","America/Los_Angeles","PayPal Express-Zahlung","EUR","-66,40","0,00","-66,40","-66,40","65N57046AS695540H","paypal@deutschebahn.com","DB Vertrieb GmbH","","","0,00","0,00","HZ96FD-01",""
"29.11.2022","21:39:11","America/Los_Angeles","Bankgutschrift auf PayPal-Konto","EUR","66,40","0,00","66,40","0,00","5RT360420J492003B","","","Commerzbank AG","4000","0,00","0,00","HZ96FD-01","65N57046AS695540H"
"08.11.2022","22:45:19","America/Los_Angeles","Zahlung im Einzugsverfahren mit Zahlungsrechnung","USD","-9,62","0,00","-9,62","-9,62","5WU97899HS5550304","paypal@scribd.com","Scribd","","","0,00","0,00","KZCNSLQMNXMBFF32","B-0DC64338TG330694Y"
"08.11.2022","22:45:19","America/Los_Angeles","Allgemeine Währungsumrechnung","USD","9,62","0,00","9,62","0,00","5JM724271C528220T","","","","","0,00","0,00","KZCNSLQMNXMBFF32","5WU97899HS5550304"
"19.11.2022","01:13:00","America/Los_Angeles","PayPal Express-Zahlung","USD","-64,95","0,00","-64,95","-64,95","7SF41704L4721261C","info@anacondafightwear.co","Galvanize Marketing Ltd","","","5,95","0,00","rScWGPfgjrLE0wYkYoY5IpXsB",""
"19.11.2022","01:13:00","America/Los_Angeles","Allgemeine Währungsumrechnung","USD","64,95","0,00","64,95","0,00","9JA33621DL416664C","","","","","5,95","0,00","rScWGPfgjrLE0wYkYoY5IpXsB","7SF41704L4721261C"
